job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][42.4%][r=3393MiB/s][r=27.1k IOPS][eta 02m:40s]Jobs: 1 (f=1): [R(1)][43.0%][r=3395MiB/s][r=27.2k IOPS][eta 02m:39s] 
Jobs: 1 (f=1): [R(1)][43.2%][r=3406MiB/s][r=27.2k IOPS][eta 02m:38s]Jobs: 1 (f=1): [R(1)][43.7%][r=3401MiB/s][r=27.2k IOPS][eta 02m:37s] 
Jobs: 1 (f=1): [R(1)][44.1%][r=3410MiB/s][r=27.3k IOPS][eta 02m:36s]Jobs: 1 (f=1): [R(1)][44.4%][r=3411MiB/s][r=27.3k IOPS][eta 02m:35s] 
Jobs: 1 (f=1): [R(1)][44.8%][r=3404MiB/s][r=27.2k IOPS][eta 02m:34s]Jobs: 1 (f=1): [R(1)][45.2%][r=3399MiB/s][r=27.2k IOPS][eta 02m:33s] 
Jobs: 1 (f=1): [R(1)][45.5%][r=3421MiB/s][r=27.4k IOPS][eta 02m:32s]Jobs: 1 (f=1): [R(1)][45.9%][r=3404MiB/s][r=27.2k IOPS][eta 02m:31s] 
Jobs: 1 (f=1): [R(1)][46.2%][r=3406MiB/s][r=27.2k IOPS][eta 02m:30s]Jobs: 1 (f=1): [R(1)][46.6%][r=3408MiB/s][r=27.3k IOPS][eta 02m:29s] 
Jobs: 1 (f=1): [R(1)][47.0%][r=3398MiB/s][r=27.2k IOPS][eta 02m:28s]Jobs: 1 (f=1): [R(1)][47.3%][r=3408MiB/s][r=27.3k IOPS][eta 02m:27s] 
Jobs: 1 (f=1): [R(1)][47.7%][r=3418MiB/s][r=27.3k IOPS][eta 02m:26s]Jobs: 1 (f=1): [R(1)][48.0%][r=3417MiB/s][r=27.3k IOPS][eta 02m:25s] 
Jobs: 1 (f=1): [R(1)][48.2%][r=3401MiB/s][r=27.2k IOPS][eta 02m:25s]Jobs: 1 (f=1): [R(1)][48.6%][r=3400MiB/s][r=27.2k IOPS][eta 02m:24s] 
Jobs: 1 (f=1): [R(1)][48.9%][r=3417MiB/s][r=27.3k IOPS][eta 02m:23s]Jobs: 1 (f=1): [R(1)][49.3%][r=3410MiB/s][r=27.3k IOPS][eta 02m:22s] 
Jobs: 1 (f=1): [R(1)][49.6%][r=3401MiB/s][r=27.2k IOPS][eta 02m:21s]Jobs: 1 (f=1): [R(1)][50.0%][r=3399MiB/s][r=27.2k IOPS][eta 02m:20s] 
Jobs: 1 (f=1): [R(1)][50.4%][r=3407MiB/s][r=27.3k IOPS][eta 02m:19s]Jobs: 1 (f=1): [R(1)][50.7%][r=3385MiB/s][r=27.1k IOPS][eta 02m:18s] 
Jobs: 1 (f=1): [R(1)][51.1%][r=3378MiB/s][r=27.0k IOPS][eta 02m:17s]Jobs: 1 (f=1): [R(1)][51.4%][r=3396MiB/s][r=27.2k IOPS][eta 02m:16s] 
Jobs: 1 (f=1): [R(1)][51.8%][r=3394MiB/s][r=27.2k IOPS][eta 02m:15s]Jobs: 1 (f=1): [R(1)][52.0%][r=3398MiB/s][r=27.2k IOPS][eta 02m:14s] 
Jobs: 1 (f=1): [R(1)][52.5%][r=3413MiB/s][r=27.3k IOPS][eta 02m:13s]Jobs: 1 (f=1): [R(1)][52.7%][r=3398MiB/s][r=27.2k IOPS][eta 02m:12s] 
Jobs: 1 (f=1): [R(1)][53.2%][r=3389MiB/s][r=27.1k IOPS][eta 02m:11s]Jobs: 1 (f=1): [R(1)][53.4%][r=3394MiB/s][r=27.2k IOPS][eta 02m:10s] 
Jobs: 1 (f=1): [R(1)][53.9%][r=3386MiB/s][r=27.1k IOPS][eta 02m:09s]Jobs: 1 (f=1): [R(1)][54.1%][r=3384MiB/s][r=27.1k IOPS][eta 02m:08s] 
Jobs: 1 (f=1): [R(1)][54.4%][r=3381MiB/s][r=27.1k IOPS][eta 02m:08s]Jobs: 1 (f=1): [R(1)][54.6%][r=3383MiB/s][r=27.1k IOPS][eta 02m:07s] 
Jobs: 1 (f=1): [R(1)][55.2%][r=3386MiB/s][r=27.1k IOPS][eta 02m:06s]Jobs: 1 (f=1): [R(1)][55.5%][r=3382MiB/s][r=27.1k IOPS][eta 02m:05s] 
Jobs: 1 (f=1): [R(1)][55.9%][r=3368MiB/s][r=26.9k IOPS][eta 02m:04s]Jobs: 1 (f=1): [R(1)][56.2%][r=3369MiB/s][r=26.0k IOPS][eta 02m:03s] 
Jobs: 1 (f=1): [R(1)][56.6%][r=3381MiB/s][r=27.0k IOPS][eta 02m:02s]Jobs: 1 (f=1): [R(1)][56.8%][r=3387MiB/s][r=27.1k IOPS][eta 02m:01s] 
Jobs: 1 (f=1): [R(1)][57.3%][r=3383MiB/s][r=27.1k IOPS][eta 02m:00s]Jobs: 1 (f=1): [R(1)][57.5%][r=3401MiB/s][r=27.2k IOPS][eta 01m:59s] 
Jobs: 1 (f=1): [R(1)][58.0%][r=3383MiB/s][r=27.1k IOPS][eta 01m:58s]Jobs: 1 (f=1): [R(1)][58.2%][r=3369MiB/s][r=26.0k IOPS][eta 01m:57s] 
Jobs: 1 (f=1): [R(1)][58.7%][r=3385MiB/s][r=27.1k IOPS][eta 01m:56s]Jobs: 1 (f=1): [R(1)][58.9%][r=3390MiB/s][r=27.1k IOPS][eta 01m:55s] 
Jobs: 1 (f=1): [R(1)][59.4%][r=3400MiB/s][r=27.2k IOPS][eta 01m:54s]Jobs: 1 (f=1): [R(1)][59.8%][r=3382MiB/s][r=27.1k IOPS][eta 01m:53s] 
Jobs: 1 (f=1): [R(1)][60.1%][r=3398MiB/s][r=27.2k IOPS][eta 01m:52s]Jobs: 1 (f=1): [R(1)][60.5%][r=3403MiB/s][r=27.2k IOPS][eta 01m:51s] 
Jobs: 1 (f=1): [R(1)][60.9%][r=3412MiB/s][r=27.3k IOPS][eta 01m:50s]Jobs: 1 (f=1): [R(1)][61.2%][r=3398MiB/s][r=27.2k IOPS][eta 01m:49s] 
Jobs: 1 (f=1): [R(1)][61.6%][r=3415MiB/s][r=27.3k IOPS][eta 01m:48s]Jobs: 1 (f=1): [R(1)][61.7%][r=3405MiB/s][r=27.2k IOPS][eta 01m:48s] 
Jobs: 1 (f=1): [R(1)][62.1%][r=3402MiB/s][r=27.2k IOPS][eta 01m:47s]Jobs: 1 (f=1): [R(1)][62.4%][r=3387MiB/s][r=27.1k IOPS][eta 01m:46s] 
Jobs: 1 (f=1): [R(1)][62.8%][r=3388MiB/s][r=27.1k IOPS][eta 01m:45s]Jobs: 1 (f=1): [R(1)][63.1%][r=3394MiB/s][r=27.2k IOPS][eta 01m:44s] 
Jobs: 1 (f=1): [R(1)][63.5%][r=3414MiB/s][r=27.3k IOPS][eta 01m:43s]Jobs: 1 (f=1): [R(1)][63.8%][r=3401MiB/s][r=27.2k IOPS][eta 01m:42s] 
Jobs: 1 (f=1): [R(1)][64.2%][r=3405MiB/s][r=27.2k IOPS][eta 01m:41s]Jobs: 1 (f=1): [R(1)][64.5%][r=3398MiB/s][r=27.2k IOPS][eta 01m:40s] 
Jobs: 1 (f=1): [R(1)][64.9%][r=3406MiB/s][r=27.2k IOPS][eta 01m:39s]Jobs: 1 (f=1): [R(1)][65.2%][r=3382MiB/s][r=27.1k IOPS][eta 01m:38s] 
Jobs: 1 (f=1): [R(1)][65.6%][r=3388MiB/s][r=27.1k IOPS][eta 01m:37s]Jobs: 1 (f=1): [R(1)][66.0%][r=3392MiB/s][r=27.1k IOPS][eta 01m:36s] 
Jobs: 1 (f=1): [R(1)][66.3%][r=3393MiB/s][r=27.1k IOPS][eta 01m:35s]Jobs: 1 (f=1): [R(1)][66.7%][r=3395MiB/s][r=27.2k IOPS][eta 01m:34s] 
Jobs: 1 (f=1): [R(1)][67.0%][r=3388MiB/s][r=27.1k IOPS][eta 01m:33s]Jobs: 1 (f=1): [R(1)][67.4%][r=3399MiB/s][r=27.2k IOPS][eta 01m:32s] 
Jobs: 1 (f=1): [R(1)][67.7%][r=3397MiB/s][r=27.2k IOPS][eta 01m:31s]Jobs: 1 (f=1): [R(1)][68.1%][r=3396MiB/s][r=27.2k IOPS][eta 01m:30s] 
Jobs: 1 (f=1): [R(1)][68.4%][r=3400MiB/s][r=27.2k IOPS][eta 01m:29s]Jobs: 1 (f=1): [R(1)][68.8%][r=3406MiB/s][r=27.2k IOPS][eta 01m:28s] 
Jobs: 1 (f=1): [R(1)][69.1%][r=3387MiB/s][r=27.1k IOPS][eta 01m:27s]Jobs: 1 (f=1): [R(1)][69.5%][r=3398MiB/s][r=27.2k IOPS][eta 01m:26s] 
Jobs: 1 (f=1): [R(1)][69.9%][r=3398MiB/s][r=27.2k IOPS][eta 01m:25s]Jobs: 1 (f=1): [R(1)][70.2%][r=3406MiB/s][r=27.3k IOPS][eta 01m:24s] 
Jobs: 1 (f=1): [R(1)][70.6%][r=3413MiB/s][r=27.3k IOPS][eta 01m:23s]Jobs: 1 (f=1): [R(1)][70.9%][r=3405MiB/s][r=27.2k IOPS][eta 01m:22s] 
Jobs: 1 (f=1): [R(1)][71.3%][r=3399MiB/s][r=27.2k IOPS][eta 01m:21s]Jobs: 1 (f=1): [R(1)][71.6%][r=3409MiB/s][r=27.3k IOPS][eta 01m:20s] 
Jobs: 1 (f=1): [R(1)][72.0%][r=3417MiB/s][r=27.3k IOPS][eta 01m:19s]Jobs: 1 (f=1): [R(1)][72.3%][r=3401MiB/s][r=27.2k IOPS][eta 01m:18s] 
Jobs: 1 (f=1): [R(1)][72.4%][r=3391MiB/s][r=27.1k IOPS][eta 01m:18s]Jobs: 1 (f=1): [R(1)][72.8%][r=3399MiB/s][r=27.2k IOPS][eta 01m:17s] 
Jobs: 1 (f=1): [R(1)][73.1%][r=3391MiB/s][r=27.1k IOPS][eta 01m:16s]Jobs: 1 (f=1): [R(1)][73.5%][r=3389MiB/s][r=27.1k IOPS][eta 01m:15s] 
Jobs: 1 (f=1): [R(1)][73.9%][r=3398MiB/s][r=27.2k IOPS][eta 01m:14s]Jobs: 1 (f=1): [R(1)][74.2%][r=3394MiB/s][r=27.1k IOPS][eta 01m:13s] 
Jobs: 1 (f=1): [R(1)][74.6%][r=3412MiB/s][r=27.3k IOPS][eta 01m:12s]Jobs: 1 (f=1): [R(1)][74.9%][r=3406MiB/s][r=27.2k IOPS][eta 01m:11s] 
Jobs: 1 (f=1): [R(1)][75.3%][r=3404MiB/s][r=27.2k IOPS][eta 01m:10s]Jobs: 1 (f=1): [R(1)][75.6%][r=3390MiB/s][r=27.1k IOPS][eta 01m:09s] 
Jobs: 1 (f=1): [R(1)][76.0%][r=3406MiB/s][r=27.2k IOPS][eta 01m:08s]Jobs: 1 (f=1): [R(1)][76.3%][r=3399MiB/s][r=27.2k IOPS][eta 01m:07s] 
Jobs: 1 (f=1): [R(1)][76.7%][r=3413MiB/s][r=27.3k IOPS][eta 01m:06s]Jobs: 1 (f=1): [R(1)][77.0%][r=3404MiB/s][r=27.2k IOPS][eta 01m:05s] 
Jobs: 1 (f=1): [R(1)][77.4%][r=3408MiB/s][r=27.3k IOPS][eta 01m:04s]Jobs: 1 (f=1): [R(1)][77.7%][r=3404MiB/s][r=27.2k IOPS][eta 01m:03s] 
Jobs: 1 (f=1): [R(1)][78.1%][r=3418MiB/s][r=27.3k IOPS][eta 01m:02s]Jobs: 1 (f=1): [R(1)][78.4%][r=3404MiB/s][r=27.2k IOPS][eta 01m:01s] 
