job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][3.3%][w=437MiB/s][w=3493 IOPS][eta 43m:28s]Jobs: 1 (f=1): [W(1)][3.3%][w=440MiB/s][w=3520 IOPS][eta 43m:21s] 
Jobs: 1 (f=1): [W(1)][3.4%][w=439MiB/s][w=3513 IOPS][eta 43m:13s]Jobs: 1 (f=1): [W(1)][3.4%][w=435MiB/s][w=3478 IOPS][eta 43m:07s] 
Jobs: 1 (f=1): [W(1)][3.5%][w=440MiB/s][w=3517 IOPS][eta 43m:00s]Jobs: 1 (f=1): [W(1)][3.5%][w=444MiB/s][w=3548 IOPS][eta 42m:53s] 
Jobs: 1 (f=1): [W(1)][3.6%][w=431MiB/s][w=3451 IOPS][eta 42m:47s]Jobs: 1 (f=1): [W(1)][3.6%][w=441MiB/s][w=3529 IOPS][eta 42m:40s] 
Jobs: 1 (f=1): [W(1)][3.7%][w=442MiB/s][w=3533 IOPS][eta 42m:33s]Jobs: 1 (f=1): [W(1)][3.7%][w=431MiB/s][w=3451 IOPS][eta 42m:28s] 
Jobs: 1 (f=1): [W(1)][3.7%][w=443MiB/s][w=3541 IOPS][eta 42m:22s]Jobs: 1 (f=1): [W(1)][3.8%][w=442MiB/s][w=3537 IOPS][eta 42m:15s] 
Jobs: 1 (f=1): [W(1)][3.8%][w=432MiB/s][w=3459 IOPS][eta 42m:10s]Jobs: 1 (f=1): [W(1)][3.9%][w=440MiB/s][w=3518 IOPS][eta 42m:04s] 
Jobs: 1 (f=1): [W(1)][3.9%][w=442MiB/s][w=3539 IOPS][eta 41m:58s]Jobs: 1 (f=1): [W(1)][4.0%][w=435MiB/s][w=3479 IOPS][eta 41m:53s] 
Jobs: 1 (f=1): [W(1)][4.0%][w=437MiB/s][w=3492 IOPS][eta 41m:48s]Jobs: 1 (f=1): [W(1)][4.1%][w=442MiB/s][w=3534 IOPS][eta 41m:42s] 
Jobs: 1 (f=1): [W(1)][4.1%][w=439MiB/s][w=3512 IOPS][eta 41m:37s]Jobs: 1 (f=1): [W(1)][4.2%][w=435MiB/s][w=3479 IOPS][eta 41m:32s] 
Jobs: 1 (f=1): [W(1)][4.2%][w=413MiB/s][w=3304 IOPS][eta 41m:29s]Jobs: 1 (f=1): [W(1)][4.2%][w=441MiB/s][w=3525 IOPS][eta 41m:24s] 
Jobs: 1 (f=1): [W(1)][4.3%][w=432MiB/s][w=3457 IOPS][eta 41m:19s]Jobs: 1 (f=1): [W(1)][4.3%][w=443MiB/s][w=3544 IOPS][eta 41m:14s] 
Jobs: 1 (f=1): [W(1)][4.4%][w=441MiB/s][w=3527 IOPS][eta 41m:10s]Jobs: 1 (f=1): [W(1)][4.4%][w=434MiB/s][w=3473 IOPS][eta 41m:05s] 
Jobs: 1 (f=1): [W(1)][4.5%][w=441MiB/s][w=3524 IOPS][eta 41m:01s]Jobs: 1 (f=1): [W(1)][4.5%][w=440MiB/s][w=3521 IOPS][eta 40m:56s] 
Jobs: 1 (f=1): [W(1)][4.6%][w=438MiB/s][w=3501 IOPS][eta 40m:52s]Jobs: 1 (f=1): [W(1)][4.6%][w=438MiB/s][w=3503 IOPS][eta 40m:47s] 
Jobs: 1 (f=1): [W(1)][4.6%][w=439MiB/s][w=3511 IOPS][eta 40m:43s]Jobs: 1 (f=1): [W(1)][4.7%][w=443MiB/s][w=3543 IOPS][eta 40m:39s] 
Jobs: 1 (f=1): [W(1)][4.7%][w=435MiB/s][w=3483 IOPS][eta 40m:35s]Jobs: 1 (f=1): [W(1)][4.8%][w=439MiB/s][w=3509 IOPS][eta 40m:31s] 
Jobs: 1 (f=1): [W(1)][4.8%][w=443MiB/s][w=3545 IOPS][eta 40m:26s]Jobs: 1 (f=1): [W(1)][4.9%][w=433MiB/s][w=3461 IOPS][eta 40m:23s] 
Jobs: 1 (f=1): [W(1)][4.9%][w=444MiB/s][w=3553 IOPS][eta 40m:18s]Jobs: 1 (f=1): [W(1)][5.0%][w=439MiB/s][w=3514 IOPS][eta 40m:14s] 
Jobs: 1 (f=1): [W(1)][5.0%][w=435MiB/s][w=3477 IOPS][eta 40m:11s]Jobs: 1 (f=1): [W(1)][5.0%][w=442MiB/s][w=3537 IOPS][eta 40m:07s] 
Jobs: 1 (f=1): [W(1)][5.1%][w=441MiB/s][w=3530 IOPS][eta 40m:03s]Jobs: 1 (f=1): [W(1)][5.1%][w=435MiB/s][w=3477 IOPS][eta 40m:00s] 
Jobs: 1 (f=1): [W(1)][5.2%][w=440MiB/s][w=3519 IOPS][eta 39m:56s]Jobs: 1 (f=1): [W(1)][5.2%][w=440MiB/s][w=3518 IOPS][eta 39m:52s] 
Jobs: 1 (f=1): [W(1)][5.3%][w=439MiB/s][w=3511 IOPS][eta 39m:49s]Jobs: 1 (f=1): [W(1)][5.3%][w=438MiB/s][w=3507 IOPS][eta 39m:45s] 
Jobs: 1 (f=1): [W(1)][5.4%][w=437MiB/s][w=3493 IOPS][eta 39m:42s]Jobs: 1 (f=1): [W(1)][5.4%][w=443MiB/s][w=3546 IOPS][eta 39m:38s] 
Jobs: 1 (f=1): [W(1)][5.5%][w=434MiB/s][w=3469 IOPS][eta 39m:35s]Jobs: 1 (f=1): [W(1)][5.5%][w=439MiB/s][w=3508 IOPS][eta 39m:32s] 
Jobs: 1 (f=1): [W(1)][5.5%][w=445MiB/s][w=3556 IOPS][eta 39m:28s]Jobs: 1 (f=1): [W(1)][5.6%][w=433MiB/s][w=3465 IOPS][eta 39m:25s] 
Jobs: 1 (f=1): [W(1)][5.6%][w=441MiB/s][w=3526 IOPS][eta 39m:22s]Jobs: 1 (f=1): [W(1)][5.7%][w=442MiB/s][w=3532 IOPS][eta 39m:19s] 
Jobs: 1 (f=1): [W(1)][5.7%][w=435MiB/s][w=3480 IOPS][eta 39m:16s]Jobs: 1 (f=1): [W(1)][5.8%][w=440MiB/s][w=3521 IOPS][eta 39m:12s] 
Jobs: 1 (f=1): [W(1)][5.8%][w=442MiB/s][w=3539 IOPS][eta 39m:09s]Jobs: 1 (f=1): [W(1)][5.9%][w=436MiB/s][w=3490 IOPS][eta 39m:06s] 
Jobs: 1 (f=1): [W(1)][5.9%][w=439MiB/s][w=3508 IOPS][eta 39m:03s]Jobs: 1 (f=1): [W(1)][5.9%][w=442MiB/s][w=3532 IOPS][eta 39m:00s] 
Jobs: 1 (f=1): [W(1)][6.0%][w=440MiB/s][w=3522 IOPS][eta 38m:57s]Jobs: 1 (f=1): [W(1)][6.0%][w=436MiB/s][w=3487 IOPS][eta 38m:54s] 
Jobs: 1 (f=1): [W(1)][6.1%][w=441MiB/s][w=3524 IOPS][eta 38m:51s]Jobs: 1 (f=1): [W(1)][6.1%][w=442MiB/s][w=3533 IOPS][eta 38m:48s] 
Jobs: 1 (f=1): [W(1)][6.2%][w=435MiB/s][w=3476 IOPS][eta 38m:46s]Jobs: 1 (f=1): [W(1)][6.2%][w=439MiB/s][w=3513 IOPS][eta 38m:43s] 
Jobs: 1 (f=1): [W(1)][6.3%][w=446MiB/s][w=3566 IOPS][eta 38m:40s]Jobs: 1 (f=1): [W(1)][6.3%][w=431MiB/s][w=3451 IOPS][eta 38m:37s] 
Jobs: 1 (f=1): [W(1)][6.4%][w=442MiB/s][w=3537 IOPS][eta 38m:34s]Jobs: 1 (f=1): [W(1)][6.4%][w=443MiB/s][w=3542 IOPS][eta 38m:32s] 
Jobs: 1 (f=1): [W(1)][6.4%][w=433MiB/s][w=3461 IOPS][eta 38m:29s]Jobs: 1 (f=1): [W(1)][6.5%][w=444MiB/s][w=3551 IOPS][eta 38m:26s] 
Jobs: 1 (f=1): [W(1)][6.5%][w=442MiB/s][w=3536 IOPS][eta 38m:23s]Jobs: 1 (f=1): [W(1)][6.6%][w=433MiB/s][w=3467 IOPS][eta 38m:21s] 
Jobs: 1 (f=1): [W(1)][6.6%][w=442MiB/s][w=3533 IOPS][eta 38m:18s]Jobs: 1 (f=1): [W(1)][6.7%][w=443MiB/s][w=3547 IOPS][eta 38m:16s] 
Jobs: 1 (f=1): [W(1)][6.7%][w=437MiB/s][w=3495 IOPS][eta 38m:13s]Jobs: 1 (f=1): [W(1)][6.8%][w=436MiB/s][w=3489 IOPS][eta 38m:11s] 
Jobs: 1 (f=1): [W(1)][6.8%][w=443MiB/s][w=3542 IOPS][eta 38m:08s]Jobs: 1 (f=1): [W(1)][6.8%][w=439MiB/s][w=3515 IOPS][eta 38m:05s] 
Jobs: 1 (f=1): [W(1)][6.9%][w=436MiB/s][w=3489 IOPS][eta 38m:03s]Jobs: 1 (f=1): [W(1)][6.9%][w=443MiB/s][w=3541 IOPS][eta 38m:00s] 
Jobs: 1 (f=1): [W(1)][7.0%][w=444MiB/s][w=3554 IOPS][eta 37m:58s]Jobs: 1 (f=1): [W(1)][7.0%][w=431MiB/s][w=3450 IOPS][eta 37m:56s] 
Jobs: 1 (f=1): [W(1)][7.1%][w=443MiB/s][w=3544 IOPS][eta 37m:53s]Jobs: 1 (f=1): [W(1)][7.1%][w=443MiB/s][w=3545 IOPS][eta 37m:51s] 
Jobs: 1 (f=1): [W(1)][7.2%][w=432MiB/s][w=3456 IOPS][eta 37m:48s]Jobs: 1 (f=1): [W(1)][7.2%][w=444MiB/s][w=3552 IOPS][eta 37m:46s] 
Jobs: 1 (f=1): [W(1)][7.3%][w=440MiB/s][w=3523 IOPS][eta 37m:44s]Jobs: 1 (f=1): [W(1)][7.3%][w=434MiB/s][w=3470 IOPS][eta 37m:41s] 
Jobs: 1 (f=1): [W(1)][7.3%][w=445MiB/s][w=3557 IOPS][eta 37m:39s]Jobs: 1 (f=1): [W(1)][7.4%][w=442MiB/s][w=3537 IOPS][eta 37m:37s] 
Jobs: 1 (f=1): [W(1)][7.4%][w=433MiB/s][w=3465 IOPS][eta 37m:34s]Jobs: 1 (f=1): [W(1)][7.5%][w=443MiB/s][w=3547 IOPS][eta 37m:32s] 
Jobs: 1 (f=1): [W(1)][7.5%][w=443MiB/s][w=3542 IOPS][eta 37m:30s]Jobs: 1 (f=1): [W(1)][7.6%][w=438MiB/s][w=3501 IOPS][eta 37m:27s] 
Jobs: 1 (f=1): [W(1)][7.6%][w=439MiB/s][w=3510 IOPS][eta 37m:25s]Jobs: 1 (f=1): [W(1)][7.7%][w=442MiB/s][w=3537 IOPS][eta 37m:23s] 
Jobs: 1 (f=1): [W(1)][7.7%][w=442MiB/s][w=3535 IOPS][eta 37m:21s]Jobs: 1 (f=1): [W(1)][7.7%][w=434MiB/s][w=3475 IOPS][eta 37m:19s] 
Jobs: 1 (f=1): [W(1)][7.8%][w=438MiB/s][w=3502 IOPS][eta 37m:17s]Jobs: 1 (f=1): [W(1)][7.8%][w=443MiB/s][w=3545 IOPS][eta 37m:14s] 
Jobs: 1 (f=1): [W(1)][7.9%][w=434MiB/s][w=3470 IOPS][eta 37m:12s]Jobs: 1 (f=1): [W(1)][7.9%][w=440MiB/s][w=3523 IOPS][eta 37m:10s] 
Jobs: 1 (f=1): [W(1)][8.0%][w=442MiB/s][w=3537 IOPS][eta 37m:08s]Jobs: 1 (f=1): [W(1)][8.0%][w=434MiB/s][w=3474 IOPS][eta 37m:06s] 
Jobs: 1 (f=1): [W(1)][8.1%][w=441MiB/s][w=3526 IOPS][eta 37m:04s]Jobs: 1 (f=1): [W(1)][8.1%][w=441MiB/s][w=3529 IOPS][eta 37m:02s] 
Jobs: 1 (f=1): [W(1)][8.2%][w=435MiB/s][w=3477 IOPS][eta 37m:00s]Jobs: 1 (f=1): [W(1)][8.2%][w=440MiB/s][w=3520 IOPS][eta 36m:58s] 
Jobs: 1 (f=1): [W(1)][8.2%][w=442MiB/s][w=3534 IOPS][eta 36m:56s]Jobs: 1 (f=1): [W(1)][8.3%][w=438MiB/s][w=3504 IOPS][eta 36m:54s] 
Jobs: 1 (f=1): [W(1)][8.3%][w=438MiB/s][w=3501 IOPS][eta 36m:52s]Jobs: 1 (f=1): [W(1)][8.4%][w=441MiB/s][w=3525 IOPS][eta 36m:50s] 
Jobs: 1 (f=1): [W(1)][8.4%][w=441MiB/s][w=3530 IOPS][eta 36m:48s]Jobs: 1 (f=1): [W(1)][8.5%][w=437MiB/s][w=3496 IOPS][eta 36m:46s] 
Jobs: 1 (f=1): [W(1)][8.5%][w=440MiB/s][w=3520 IOPS][eta 36m:44s]Jobs: 1 (f=1): [W(1)][8.6%][w=446MiB/s][w=3565 IOPS][eta 36m:41s] 
Jobs: 1 (f=1): [W(1)][8.6%][w=433MiB/s][w=3464 IOPS][eta 36m:40s]Jobs: 1 (f=1): [W(1)][8.6%][w=441MiB/s][w=3531 IOPS][eta 36m:38s] 
Jobs: 1 (f=1): [W(1)][8.7%][w=444MiB/s][w=3551 IOPS][eta 36m:36s]Jobs: 1 (f=1): [W(1)][8.7%][w=433MiB/s][w=3461 IOPS][eta 36m:34s] 
Jobs: 1 (f=1): [W(1)][8.8%][w=444MiB/s][w=3548 IOPS][eta 36m:32s]Jobs: 1 (f=1): [W(1)][8.8%][w=443MiB/s][w=3543 IOPS][eta 36m:30s] 
Jobs: 1 (f=1): [W(1)][8.9%][w=433MiB/s][w=3465 IOPS][eta 36m:28s]Jobs: 1 (f=1): [W(1)][8.9%][w=444MiB/s][w=3550 IOPS][eta 36m:26s] 
Jobs: 1 (f=1): [W(1)][9.0%][w=445MiB/s][w=3556 IOPS][eta 36m:24s]Jobs: 1 (f=1): [W(1)][9.0%][w=434MiB/s][w=3473 IOPS][eta 36m:22s] 
