job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][9.7%][w=442MiB/s][w=3536 IOPS][eta 16m:49s]Jobs: 1 (f=1): [W(1)][9.8%][w=439MiB/s][w=3512 IOPS][eta 16m:48s] 
Jobs: 1 (f=1): [W(1)][9.9%][w=435MiB/s][w=3477 IOPS][eta 16m:47s]Jobs: 1 (f=1): [W(1)][10.0%][w=437MiB/s][w=3499 IOPS][eta 16m:46s]
Jobs: 1 (f=1): [W(1)][10.1%][w=443MiB/s][w=3543 IOPS][eta 16m:45s]Jobs: 1 (f=1): [W(1)][10.2%][w=431MiB/s][w=3448 IOPS][eta 16m:44s] 
Jobs: 1 (f=1): [W(1)][10.3%][w=439MiB/s][w=3513 IOPS][eta 16m:43s]Jobs: 1 (f=1): [W(1)][10.4%][w=441MiB/s][w=3527 IOPS][eta 16m:42s] 
Jobs: 1 (f=1): [W(1)][10.5%][w=431MiB/s][w=3450 IOPS][eta 16m:41s]Jobs: 1 (f=1): [W(1)][10.6%][w=442MiB/s][w=3535 IOPS][eta 16m:40s] 
Jobs: 1 (f=1): [W(1)][10.6%][w=441MiB/s][w=3524 IOPS][eta 16m:39s]Jobs: 1 (f=1): [W(1)][10.7%][w=434MiB/s][w=3472 IOPS][eta 16m:38s] 
Jobs: 1 (f=1): [W(1)][10.8%][w=437MiB/s][w=3498 IOPS][eta 16m:37s]Jobs: 1 (f=1): [W(1)][10.9%][w=440MiB/s][w=3518 IOPS][eta 16m:36s] 
Jobs: 1 (f=1): [W(1)][11.0%][w=438MiB/s][w=3506 IOPS][eta 16m:35s]Jobs: 1 (f=1): [W(1)][11.1%][w=435MiB/s][w=3482 IOPS][eta 16m:34s] 
Jobs: 1 (f=1): [W(1)][11.2%][w=440MiB/s][w=3518 IOPS][eta 16m:33s]Jobs: 1 (f=1): [W(1)][11.3%][w=443MiB/s][w=3541 IOPS][eta 16m:32s] 
Jobs: 1 (f=1): [W(1)][11.4%][w=432MiB/s][w=3455 IOPS][eta 16m:31s]Jobs: 1 (f=1): [W(1)][11.4%][w=440MiB/s][w=3521 IOPS][eta 16m:30s] 
Jobs: 1 (f=1): [W(1)][11.5%][w=441MiB/s][w=3528 IOPS][eta 16m:29s]Jobs: 1 (f=1): [W(1)][11.6%][w=432MiB/s][w=3453 IOPS][eta 16m:28s] 
Jobs: 1 (f=1): [W(1)][11.7%][w=441MiB/s][w=3527 IOPS][eta 16m:27s]Jobs: 1 (f=1): [W(1)][11.8%][w=440MiB/s][w=3523 IOPS][eta 16m:26s] 
Jobs: 1 (f=1): [W(1)][11.9%][w=433MiB/s][w=3467 IOPS][eta 16m:25s]Jobs: 1 (f=1): [W(1)][12.0%][w=438MiB/s][w=3506 IOPS][eta 16m:24s] 
Jobs: 1 (f=1): [W(1)][12.1%][w=441MiB/s][w=3528 IOPS][eta 16m:23s]Jobs: 1 (f=1): [W(1)][12.2%][w=436MiB/s][w=3490 IOPS][eta 16m:22s] 
Jobs: 1 (f=1): [W(1)][12.3%][w=435MiB/s][w=3483 IOPS][eta 16m:21s]Jobs: 1 (f=1): [W(1)][12.3%][w=442MiB/s][w=3533 IOPS][eta 16m:20s] 
Jobs: 1 (f=1): [W(1)][12.4%][w=439MiB/s][w=3513 IOPS][eta 16m:19s]Jobs: 1 (f=1): [W(1)][12.5%][w=435MiB/s][w=3478 IOPS][eta 16m:18s] 
Jobs: 1 (f=1): [W(1)][12.6%][w=438MiB/s][w=3506 IOPS][eta 16m:17s]Jobs: 1 (f=1): [W(1)][12.7%][w=443MiB/s][w=3543 IOPS][eta 16m:16s] 
Jobs: 1 (f=1): [W(1)][12.8%][w=432MiB/s][w=3457 IOPS][eta 16m:15s]Jobs: 1 (f=1): [W(1)][12.9%][w=441MiB/s][w=3524 IOPS][eta 16m:14s] 
Jobs: 1 (f=1): [W(1)][13.0%][w=439MiB/s][w=3508 IOPS][eta 16m:13s]Jobs: 1 (f=1): [W(1)][13.1%][w=434MiB/s][w=3469 IOPS][eta 16m:12s] 
Jobs: 1 (f=1): [W(1)][13.1%][w=439MiB/s][w=3514 IOPS][eta 16m:11s]Jobs: 1 (f=1): [W(1)][13.2%][w=441MiB/s][w=3530 IOPS][eta 16m:10s] 
Jobs: 1 (f=1): [W(1)][13.3%][w=436MiB/s][w=3489 IOPS][eta 16m:09s]Jobs: 1 (f=1): [W(1)][13.4%][w=436MiB/s][w=3489 IOPS][eta 16m:08s] 
Jobs: 1 (f=1): [W(1)][13.5%][w=442MiB/s][w=3532 IOPS][eta 16m:07s]Jobs: 1 (f=1): [W(1)][13.6%][w=440MiB/s][w=3518 IOPS][eta 16m:06s] 
Jobs: 1 (f=1): [W(1)][13.7%][w=436MiB/s][w=3485 IOPS][eta 16m:05s]Jobs: 1 (f=1): [W(1)][13.8%][w=439MiB/s][w=3510 IOPS][eta 16m:04s] 
Jobs: 1 (f=1): [W(1)][13.9%][w=444MiB/s][w=3550 IOPS][eta 16m:02s]Jobs: 1 (f=1): [W(1)][14.0%][w=432MiB/s][w=3457 IOPS][eta 16m:02s] 
Jobs: 1 (f=1): [W(1)][14.0%][w=439MiB/s][w=3514 IOPS][eta 16m:01s]Jobs: 1 (f=1): [W(1)][14.1%][w=443MiB/s][w=3541 IOPS][eta 15m:59s] 
Jobs: 1 (f=1): [W(1)][14.2%][w=431MiB/s][w=3450 IOPS][eta 15m:59s]Jobs: 1 (f=1): [W(1)][14.3%][w=443MiB/s][w=3545 IOPS][eta 15m:57s] 
Jobs: 1 (f=1): [W(1)][14.4%][w=442MiB/s][w=3539 IOPS][eta 15m:56s]Jobs: 1 (f=1): [W(1)][14.5%][w=433MiB/s][w=3465 IOPS][eta 15m:55s] 
Jobs: 1 (f=1): [W(1)][14.6%][w=440MiB/s][w=3520 IOPS][eta 15m:54s]Jobs: 1 (f=1): [W(1)][14.7%][w=442MiB/s][w=3539 IOPS][eta 15m:53s] 
Jobs: 1 (f=1): [W(1)][14.8%][w=437MiB/s][w=3496 IOPS][eta 15m:52s]Jobs: 1 (f=1): [W(1)][14.9%][w=436MiB/s][w=3491 IOPS][eta 15m:51s] 
Jobs: 1 (f=1): [W(1)][15.0%][w=441MiB/s][w=3525 IOPS][eta 15m:50s]Jobs: 1 (f=1): [W(1)][15.0%][w=440MiB/s][w=3518 IOPS][eta 15m:49s] 
Jobs: 1 (f=1): [W(1)][15.1%][w=435MiB/s][w=3481 IOPS][eta 15m:48s]Jobs: 1 (f=1): [W(1)][15.2%][w=440MiB/s][w=3520 IOPS][eta 15m:47s] 
Jobs: 1 (f=1): [W(1)][15.3%][w=444MiB/s][w=3550 IOPS][eta 15m:46s]Jobs: 1 (f=1): [W(1)][15.4%][w=432MiB/s][w=3456 IOPS][eta 15m:45s] 
Jobs: 1 (f=1): [W(1)][15.5%][w=441MiB/s][w=3531 IOPS][eta 15m:44s]Jobs: 1 (f=1): [W(1)][15.6%][w=443MiB/s][w=3540 IOPS][eta 15m:43s] 
Jobs: 1 (f=1): [W(1)][15.7%][w=433MiB/s][w=3467 IOPS][eta 15m:42s]Jobs: 1 (f=1): [W(1)][15.8%][w=440MiB/s][w=3521 IOPS][eta 15m:41s] 
Jobs: 1 (f=1): [W(1)][15.8%][w=444MiB/s][w=3548 IOPS][eta 15m:40s]Jobs: 1 (f=1): [W(1)][15.9%][w=437MiB/s][w=3495 IOPS][eta 15m:39s] 
Jobs: 1 (f=1): [W(1)][16.0%][w=444MiB/s][w=3549 IOPS][eta 15m:38s]Jobs: 1 (f=1): [W(1)][16.1%][w=446MiB/s][w=3567 IOPS][eta 15m:37s] 
