job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][6.6%][w=851MiB/s][w=6810 IOPS][eta 22m:16s]Jobs: 1 (f=1): [W(1)][6.7%][w=868MiB/s][w=6940 IOPS][eta 22m:11s] 
Jobs: 1 (f=1): [W(1)][6.8%][w=868MiB/s][w=6941 IOPS][eta 22m:06s]Jobs: 1 (f=1): [W(1)][6.9%][w=852MiB/s][w=6812 IOPS][eta 22m:02s] 
Jobs: 1 (f=1): [W(1)][7.0%][w=865MiB/s][w=6922 IOPS][eta 21m:57s]Jobs: 1 (f=1): [W(1)][7.1%][w=864MiB/s][w=6914 IOPS][eta 21m:52s] 
Jobs: 1 (f=1): [W(1)][7.1%][w=852MiB/s][w=6817 IOPS][eta 21m:48s]Jobs: 1 (f=1): [W(1)][7.3%][w=858MiB/s][w=6865 IOPS][eta 21m:44s] 
Jobs: 1 (f=1): [W(1)][7.3%][w=861MiB/s][w=6885 IOPS][eta 21m:40s]Jobs: 1 (f=1): [W(1)][7.4%][w=865MiB/s][w=6923 IOPS][eta 21m:35s] 
Jobs: 1 (f=1): [W(1)][7.5%][w=845MiB/s][w=6763 IOPS][eta 21m:32s]Jobs: 1 (f=1): [W(1)][7.6%][w=860MiB/s][w=6881 IOPS][eta 21m:28s] 
Jobs: 1 (f=1): [W(1)][7.7%][w=858MiB/s][w=6861 IOPS][eta 21m:24s]Jobs: 1 (f=1): [W(1)][7.7%][w=853MiB/s][w=6823 IOPS][eta 21m:20s] 
Jobs: 1 (f=1): [W(1)][7.9%][w=853MiB/s][w=6825 IOPS][eta 21m:16s]Jobs: 1 (f=1): [W(1)][8.0%][w=857MiB/s][w=6855 IOPS][eta 21m:12s] 
Jobs: 1 (f=1): [W(1)][8.0%][w=866MiB/s][w=6931 IOPS][eta 21m:09s]Jobs: 1 (f=1): [W(1)][8.1%][w=842MiB/s][w=6738 IOPS][eta 21m:05s] 
Jobs: 1 (f=1): [W(1)][8.2%][w=859MiB/s][w=6868 IOPS][eta 21m:02s]Jobs: 1 (f=1): [W(1)][8.3%][w=860MiB/s][w=6881 IOPS][eta 20m:58s] 
Jobs: 1 (f=1): [W(1)][8.4%][w=856MiB/s][w=6847 IOPS][eta 20m:55s]Jobs: 1 (f=1): [W(1)][8.5%][w=844MiB/s][w=6755 IOPS][eta 20m:52s] 
Jobs: 1 (f=1): [W(1)][8.6%][w=859MiB/s][w=6872 IOPS][eta 20m:48s]Jobs: 1 (f=1): [W(1)][8.7%][w=861MiB/s][w=6887 IOPS][eta 20m:45s] 
