job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][56.6%][r=3390MiB/s][r=27.1k IOPS][eta 02m:05s]Jobs: 1 (f=1): [R(1)][56.9%][r=3386MiB/s][r=27.1k IOPS][eta 02m:04s] 
Jobs: 1 (f=1): [R(1)][57.3%][r=3377MiB/s][r=27.0k IOPS][eta 02m:03s]Jobs: 1 (f=1): [R(1)][57.6%][r=3381MiB/s][r=27.1k IOPS][eta 02m:02s] 
Jobs: 1 (f=1): [R(1)][58.0%][r=3376MiB/s][r=27.0k IOPS][eta 02m:01s]Jobs: 1 (f=1): [R(1)][58.3%][r=3369MiB/s][r=26.0k IOPS][eta 02m:00s] 
Jobs: 1 (f=1): [R(1)][58.7%][r=3375MiB/s][r=27.0k IOPS][eta 01m:59s]Jobs: 1 (f=1): [R(1)][59.0%][r=3374MiB/s][r=26.0k IOPS][eta 01m:58s] 
Jobs: 1 (f=1): [R(1)][59.4%][r=3378MiB/s][r=27.0k IOPS][eta 01m:57s]Jobs: 1 (f=1): [R(1)][59.7%][r=3398MiB/s][r=27.2k IOPS][eta 01m:56s] 
Jobs: 1 (f=1): [R(1)][60.1%][r=3401MiB/s][r=27.2k IOPS][eta 01m:55s]Jobs: 1 (f=1): [R(1)][60.4%][r=3397MiB/s][r=27.2k IOPS][eta 01m:54s] 
Jobs: 1 (f=1): [R(1)][60.6%][r=3407MiB/s][r=27.3k IOPS][eta 01m:53s]Jobs: 1 (f=1): [R(1)][61.1%][r=3405MiB/s][r=27.2k IOPS][eta 01m:52s] 
Jobs: 1 (f=1): [R(1)][61.5%][r=3394MiB/s][r=27.1k IOPS][eta 01m:51s]Jobs: 1 (f=1): [R(1)][61.8%][r=3413MiB/s][r=27.3k IOPS][eta 01m:50s] 
Jobs: 1 (f=1): [R(1)][62.2%][r=3386MiB/s][r=27.1k IOPS][eta 01m:49s]Jobs: 1 (f=1): [R(1)][62.5%][r=3385MiB/s][r=27.1k IOPS][eta 01m:48s] 
Jobs: 1 (f=1): [R(1)][62.8%][r=3380MiB/s][r=27.0k IOPS][eta 01m:47s]Jobs: 1 (f=1): [R(1)][63.2%][r=3396MiB/s][r=27.2k IOPS][eta 01m:46s] 
Jobs: 1 (f=1): [R(1)][63.5%][r=3382MiB/s][r=27.1k IOPS][eta 01m:45s]Jobs: 1 (f=1): [R(1)][63.9%][r=3384MiB/s][r=27.1k IOPS][eta 01m:44s] 
Jobs: 1 (f=1): [R(1)][64.2%][r=3388MiB/s][r=27.1k IOPS][eta 01m:43s]Jobs: 1 (f=1): [R(1)][64.6%][r=3394MiB/s][r=27.1k IOPS][eta 01m:42s] 
Jobs: 1 (f=1): [R(1)][64.9%][r=3389MiB/s][r=27.1k IOPS][eta 01m:41s]Jobs: 1 (f=1): [R(1)][65.3%][r=3372MiB/s][r=26.0k IOPS][eta 01m:40s] 
Jobs: 1 (f=1): [R(1)][65.6%][r=3368MiB/s][r=26.9k IOPS][eta 01m:39s]Jobs: 1 (f=1): [R(1)][66.0%][r=3381MiB/s][r=27.0k IOPS][eta 01m:38s] 
Jobs: 1 (f=1): [R(1)][66.3%][r=3396MiB/s][r=27.2k IOPS][eta 01m:37s]Jobs: 1 (f=1): [R(1)][66.7%][r=3379MiB/s][r=27.0k IOPS][eta 01m:36s] 
Jobs: 1 (f=1): [R(1)][67.0%][r=3388MiB/s][r=27.1k IOPS][eta 01m:35s]Jobs: 1 (f=1): [R(1)][67.4%][r=3382MiB/s][r=27.1k IOPS][eta 01m:34s] 
